TARJETA,RED
4107681497317660,VISA
4874842870179132,VISA
4462070831926254,VISA
4851547826302327,VISA
4444894320560040,VISA
5437928616190348,MASTERCARD
5449981007097362,MASTERCARD
5315964682219130,MASTERCARD
5376717065473583,MASTERCARD
5524554748983022,MASTERCARD
378041786527133,AMERICAN EXPRESS
347540562862034,AMERICAN EXPRESS
344600661681744,AMERICAN EXPRESS
379106087428494,AMERICAN EXPRESS
340074095109264,AMERICAN EXPRESS
340670195568702,INVALIDA
4107681497318660,INVALIDA
543792861619034,INVALIDA
3446006611744,INVALIDA
5524554748983522,INVALIDA
